Model	Transcription factor	Model length	Quality	TF family	EntrezGene	UniProt ID
CEBPE_HUMAN.H10MO.A	CEBPE	12	A	C/EBP-related{1.1.8}	1053	CEBPE_HUMAN
CEBPG_HUMAN.H10MO.C	CEBPG	13	C	C/EBP-related{1.1.8}	1054	CEBPG_HUMAN
CEBPZ_HUMAN.H10MO.D	CEBPZ	11	D		10153	CEBPZ_HUMAN
CENPB_HUMAN.H10MO.D	CENPB	17	D		1059	CENPB_HUMAN
CLOCK_HUMAN.H10MO.D	CLOCK	20	D	PAS domain factors{1.2.5}	9575	CLOCK_HUMAN
COE1_HUMAN.H10MO.A	EBF1	15	A	Early B-Cell Factor-related factors{6.1.5}	1879	COE1_HUMAN
COT1_HUMAN.H10MO.B	NR2F1	9	B	RXR-related receptors (NR2){2.1.3}	7025	COT1_HUMAN
COT1_HUMAN.H10MO.S	NR2F1	12	S	RXR-related receptors (NR2){2.1.3}	7025	COT1_HUMAN
COT2_HUMAN.H10MO.A	NR2F2	13	A	RXR-related receptors (NR2){2.1.3}	7026	COT2_HUMAN
COT2_HUMAN.H10MO.S	NR2F2	15	S	RXR-related receptors (NR2){2.1.3}	7026	COT2_HUMAN
CPEB1_HUMAN.H10MO.D	CPEB1	17	D		64506	CPEB1_HUMAN
CR3L1_HUMAN.H10MO.D	CREB3L1	11	D	CREB-related factors{1.1.7}	90993	CR3L1_HUMAN
CR3L2_HUMAN.H10MO.D	CREB3L2	13	D	CREB-related factors{1.1.7}	64764	CR3L2_HUMAN
CREB1_HUMAN.H10MO.A	CREB1	11	A	CREB-related factors{1.1.7}	1385	CREB1_HUMAN
CREB3_HUMAN.H10MO.D	CREB3	13	D	CREB-related factors{1.1.7}	10488	CREB3_HUMAN
CREB5_HUMAN.H10MO.D	CREB5	11	D	Jun-related factors{1.1.1}	9586	CREB5_HUMAN
CREM_HUMAN.H10MO.C	CREM	11	C	CREB-related factors{1.1.7}	1390	CREM_HUMAN
CRX_HUMAN.H10MO.C	CRX	8	C	Paired-related HD factors{3.1.3}	1406	CRX_HUMAN
CTCFL_HUMAN.H10MO.A	CTCFL	19	A	More than 3 adjacent zinc finger factors{2.3.3}	140690	CTCFL_HUMAN
CTCF_HUMAN.H10MO.A	CTCF	20	A	More than 3 adjacent zinc finger factors{2.3.3}	10664	CTCF_HUMAN
CUX1_HUMAN.H10MO.C	CUX1	14	C	HD-CUT factors{3.1.9}	1523	CUX1_HUMAN
CUX2_HUMAN.H10MO.D	CUX2	21	D	HD-CUT factors{3.1.9}	23316	CUX2_HUMAN
CXXC1_HUMAN.H10MO.D	CXXC1	7	D	CpG-binding proteins{2.6.1}	30827	CXXC1_HUMAN
DBP_HUMAN.H10MO.B	DBP	11	B	C/EBP-related{1.1.8}	1628	DBP_HUMAN
DDIT3_HUMAN.H10MO.C	DDIT3	13	C	C/EBP-related{1.1.8}	1649	DDIT3_HUMAN
DLX1_HUMAN.H10MO.D	DLX1	16	D	NK-related factors{3.1.2}	1745	DLX1_HUMAN
DLX2_HUMAN.H10MO.D	DLX2	8	D	NK-related factors{3.1.2}	1746	DLX2_HUMAN
DLX3_HUMAN.H10MO.C	DLX3	10	C	NK-related factors{3.1.2}	1747	DLX3_HUMAN
DLX4_HUMAN.H10MO.D	DLX4	16	D	NK-related factors{3.1.2}	1748	DLX4_HUMAN
DLX5_HUMAN.H10MO.D	DLX5	14	D	NK-related factors{3.1.2}	1749	DLX5_HUMAN
DLX6_HUMAN.H10MO.D	DLX6	15	D	NK-related factors{3.1.2}	1750	DLX6_HUMAN
DMBX1_HUMAN.H10MO.D	DMBX1	20	D	Paired-related HD factors{3.1.3}	127343	DMBX1_HUMAN
DPRX_HUMAN.H10MO.D	DPRX	11	D	Paired-related HD factors{3.1.3}	503834	DPRX_HUMAN
DRGX_HUMAN.H10MO.D	DRGX	11	D	Paired-related HD factors{3.1.3}	644168	DRGX_HUMAN
DUXA_HUMAN.H10MO.D	DUXA	11	D	Paired-related HD factors{3.1.3}	503835	DUXA_HUMAN
E2F1_HUMAN.H10MO.A	E2F1	14	A	E2F-related factors{3.3.2}	1869	E2F1_HUMAN
E2F2_HUMAN.H10MO.B	E2F2	10	B	E2F-related factors{3.3.2}	1870	E2F2_HUMAN
E2F3_HUMAN.H10MO.B	E2F3	10	B	E2F-related factors{3.3.2}	1871	E2F3_HUMAN
E2F4_HUMAN.H10MO.A	E2F4	14	A	E2F-related factors{3.3.2}	1874	E2F4_HUMAN
E2F5_HUMAN.H10MO.B	E2F5	10	B	E2F-related factors{3.3.2}	1875	E2F5_HUMAN
E2F6_HUMAN.H10MO.C	E2F6	12	C	E2F-related factors{3.3.2}	1876	E2F6_HUMAN
E2F7_HUMAN.H10MO.D	E2F7	13	D	E2F-related factors{3.3.2}	144455	E2F7_HUMAN
E2F8_HUMAN.H10MO.D	E2F8	12	D	E2F-related factors{3.3.2}	79733	E2F8_HUMAN
E4F1_HUMAN.H10MO.D	E4F1	9	D	Factors with multiple dispersed zinc fingers{2.3.4}	1877	E4F1_HUMAN
EGR1_HUMAN.H10MO.A	EGR1	18	A	Three-zinc finger Krüppel-related factors{2.3.1}	1958	EGR1_HUMAN
EGR1_HUMAN.H10MO.S	EGR1	11	S	Three-zinc finger Krüppel-related factors{2.3.1}	1958	EGR1_HUMAN
EGR2_HUMAN.H10MO.C	EGR2	11	C	Three-zinc finger Krüppel-related factors{2.3.1}	1959	EGR2_HUMAN
EGR3_HUMAN.H10MO.D	EGR3	11	D	Three-zinc finger Krüppel-related factors{2.3.1}	1960	EGR3_HUMAN
EGR4_HUMAN.H10MO.D	EGR4	11	D	Three-zinc finger Krüppel-related factors{2.3.1}	1961	EGR4_HUMAN
EHF_HUMAN.H10MO.C	EHF	17	C	Ets-related factors{3.5.2}	26298	EHF_HUMAN
EHF_HUMAN.H10MO.S	EHF	13	S	Ets-related factors{3.5.2}	26298	EHF_HUMAN
ELF1_HUMAN.H10MO.A	ELF1	14	A	Ets-related factors{3.5.2}	1997	ELF1_HUMAN
ELF2_HUMAN.H10MO.C	ELF2	17	C	Ets-related factors{3.5.2}	1998	ELF2_HUMAN
ELF3_HUMAN.H10MO.D	ELF3	14	D	Ets-related factors{3.5.2}	1999	ELF3_HUMAN
ELF5_HUMAN.H10MO.D	ELF5	11	D	Ets-related factors{3.5.2}	2001	ELF5_HUMAN
ELK1_HUMAN.H10MO.A	ELK1	9	A	Ets-related factors{3.5.2}	2002	ELK1_HUMAN
ELK3_HUMAN.H10MO.D	ELK3	12	D	Ets-related factors{3.5.2}	2004	ELK3_HUMAN
ELK4_HUMAN.H10MO.A	ELK4	11	A	Ets-related factors{3.5.2}	2005	ELK4_HUMAN
EMX1_HUMAN.H10MO.D	EMX1	12	D	NK-related factors{3.1.2}	2016	EMX1_HUMAN
EMX2_HUMAN.H10MO.D	EMX2	12	D	NK-related factors{3.1.2}	2018	EMX2_HUMAN
EOMES_HUMAN.H10MO.D	EOMES	12	D	TBrain-related factors{6.5.2}	8320	EOMES_HUMAN
EPAS1_HUMAN.H10MO.D	EPAS1	13	D	PAS domain factors{1.2.5}	2034	EPAS1_HUMAN
ERF_HUMAN.H10MO.D	ERF	20	D	Ets-related factors{3.5.2}	2077	ERF_HUMAN
ERG_HUMAN.H10MO.B	ERG	13	B	Ets-related factors{3.5.2}	2078	ERG_HUMAN
ERR1_HUMAN.H10MO.D	ESRRA	14	D	Steroid hormone receptors (NR3){2.1.1}	2101	ERR1_HUMAN
ERR2_HUMAN.H10MO.A	ESRRB	9	A	Steroid hormone receptors (NR3){2.1.1}	2103	ERR2_HUMAN
ERR3_HUMAN.H10MO.B	ESRRG	9	B	Steroid hormone receptors (NR3){2.1.1}	2104	ERR3_HUMAN
ESR1_HUMAN.H10MO.A	ESR1	17	A	Steroid hormone receptors (NR3){2.1.1}	2099	ESR1_HUMAN
ESR1_HUMAN.H10MO.S	ESR1	18	S	Steroid hormone receptors (NR3){2.1.1}	2099	ESR1_HUMAN
ESR2_HUMAN.H10MO.A	ESR2	18	A	Steroid hormone receptors (NR3){2.1.1}	2100	ESR2_HUMAN
ESR2_HUMAN.H10MO.S	ESR2	7	S	Steroid hormone receptors (NR3){2.1.1}	2100	ESR2_HUMAN
ESX1_HUMAN.H10MO.D	ESX1	17	D	Paired-related HD factors{3.1.3}	80712	ESX1_HUMAN
ETS1_HUMAN.H10MO.C	ETS1	9	C	Ets-related factors{3.5.2}	2113	ETS1_HUMAN
ETS2_HUMAN.H10MO.C	ETS2	11	C	Ets-related factors{3.5.2}	2114	ETS2_HUMAN
ETV1_HUMAN.H10MO.B	ETV1	22	B	Ets-related factors{3.5.2}	2115	ETV1_HUMAN
ETV2_HUMAN.H10MO.D	ETV2	11	D	Ets-related factors{3.5.2}	2116	ETV2_HUMAN
ETV3_HUMAN.H10MO.D	ETV3	14	D	Ets-related factors{3.5.2}	2117	ETV3_HUMAN
ETV4_HUMAN.H10MO.B	ETV4	8	B	Ets-related factors{3.5.2}	2118	ETV4_HUMAN
ETV5_HUMAN.H10MO.D	ETV5	13	D	Ets-related factors{3.5.2}	2119	ETV5_HUMAN
ETV6_HUMAN.H10MO.D	ETV6	11	D	Ets-related factors{3.5.2}	2120	ETV6_HUMAN
ETV7_HUMAN.H10MO.D	ETV7	17	D	Ets-related factors{3.5.2}	51513	ETV7_HUMAN
EVI1_HUMAN.H10MO.B	MECOM	16	B	Factors with multiple dispersed zinc fingers{2.3.4}	2122	EVI1_HUMAN
EVX1_HUMAN.H10MO.D	EVX1	20	D	HOX-related factors{3.1.1}	2128	EVX1_HUMAN
EVX2_HUMAN.H10MO.A	EVX2	12	A	HOX-related factors{3.1.1}	344191	EVX2_HUMAN
FEV_HUMAN.H10MO.C	FEV	10	C	Ets-related factors{3.5.2}	54738	FEV_HUMAN
FIGLA_HUMAN.H10MO.D	FIGLA	11	D	Tal-related factors{1.2.3}	344018	FIGLA_HUMAN
FLI1_HUMAN.H10MO.A	FLI1	13	A	Ets-related factors{3.5.2}	2313	FLI1_HUMAN
FOSB_HUMAN.H10MO.C	FOSB	11	C	Fos-related factors{1.1.2}	2354	FOSB_HUMAN
FOSL1_HUMAN.H10MO.A	FOSL1	11	A	Fos-related factors{1.1.2}	8061	FOSL1_HUMAN
FOSL2_HUMAN.H10MO.A	FOSL2	11	A	Fos-related factors{1.1.2}	2355	FOSL2_HUMAN
FOS_HUMAN.H10MO.A	FOS	11	A	Fos-related factors{1.1.2}	2353	FOS_HUMAN
FOXA1_HUMAN.H10MO.A	FOXA1	13	A	Forkhead box (FOX) factors{3.3.1}	3169	FOXA1_HUMAN
FOXA2_HUMAN.H10MO.A	FOXA2	11	A	Forkhead box (FOX) factors{3.3.1}	3170	FOXA2_HUMAN
FOXA3_HUMAN.H10MO.C	FOXA3	13	C	Forkhead box (FOX) factors{3.3.1}	3171	FOXA3_HUMAN
FOXB1_HUMAN.H10MO.D	FOXB1	17	D	Forkhead box (FOX) factors{3.3.1}	27023	FOXB1_HUMAN
FOXC1_HUMAN.H10MO.C	FOXC1	15	C	Forkhead box (FOX) factors{3.3.1}	2296	FOXC1_HUMAN
FOXC2_HUMAN.H10MO.D	FOXC2	15	D	Forkhead box (FOX) factors{3.3.1}	2303	FOXC2_HUMAN
FOXD1_HUMAN.H10MO.D	FOXD1	15	D	Forkhead box (FOX) factors{3.3.1}	2297	FOXD1_HUMAN
FOXD2_HUMAN.H10MO.D	FOXD2	19	D	Forkhead box (FOX) factors{3.3.1}	2306	FOXD2_HUMAN
FOXD3_HUMAN.H10MO.D	FOXD3	9	D	Forkhead box (FOX) factors{3.3.1}	27022	FOXD3_HUMAN
FOXF1_HUMAN.H10MO.D	FOXF1	11	D	Forkhead box (FOX) factors{3.3.1}	2294	FOXF1_HUMAN
FOXF2_HUMAN.H10MO.D	FOXF2	11	D	Forkhead box (FOX) factors{3.3.1}	2295	FOXF2_HUMAN
FOXG1_HUMAN.H10MO.D	FOXG1	17	D	Forkhead box (FOX) factors{3.3.1}	2290	FOXG1_HUMAN
FOXH1_HUMAN.H10MO.A	FOXH1	11	A	Forkhead box (FOX) factors{3.3.1}	8928	FOXH1_HUMAN
FOXI1_HUMAN.H10MO.B	FOXI1	12	B	Forkhead box (FOX) factors{3.3.1}	2299	FOXI1_HUMAN
FOXJ2_HUMAN.H10MO.C	FOXJ2	10	C	Forkhead box (FOX) factors{3.3.1}	55810	FOXJ2_HUMAN
FOXJ3_HUMAN.H10MO.A	FOXJ3	13	A	Forkhead box (FOX) factors{3.3.1}	22887	FOXJ3_HUMAN
FOXJ3_HUMAN.H10MO.S	FOXJ3	13	S	Forkhead box (FOX) factors{3.3.1}	22887	FOXJ3_HUMAN
FOXK1_HUMAN.H10MO.D	FOXK1	12	D	Forkhead box (FOX) factors{3.3.1}	221937	FOXK1_HUMAN
FOXL1_HUMAN.H10MO.D	FOXL1	19	D	Forkhead box (FOX) factors{3.3.1}	2300	FOXL1_HUMAN
FOXM1_HUMAN.H10MO.D	FOXM1	13	D	Forkhead box (FOX) factors{3.3.1}	2305	FOXM1_HUMAN
FOXO1_HUMAN.H10MO.C	FOXO1	16	C	Forkhead box (FOX) factors{3.3.1}	2308	FOXO1_HUMAN
FOXO3_HUMAN.H10MO.B	FOXO3	13	B	Forkhead box (FOX) factors{3.3.1}	2309	FOXO3_HUMAN
FOXO4_HUMAN.H10MO.C	FOXO4	9	C	Forkhead box (FOX) factors{3.3.1}	4303	FOXO4_HUMAN
FOXO6_HUMAN.H10MO.D	FOXO6	13	D	Forkhead box (FOX) factors{3.3.1}		FOXO6_HUMAN
FOXP2_HUMAN.H10MO.A	FOXP2	9	A	Forkhead box (FOX) factors{3.3.1}	93986	FOXP2_HUMAN
FOXP3_HUMAN.H10MO.D	FOXP3	9	D	Forkhead box (FOX) factors{3.3.1}	50943	FOXP3_HUMAN
FOXQ1_HUMAN.H10MO.C	FOXQ1	12	C	Forkhead box (FOX) factors{3.3.1}	94234	FOXQ1_HUMAN
FUBP1_HUMAN.H10MO.D	FUBP1	12	D		8880	FUBP1_HUMAN
GABP1_HUMAN.H10MO.C	GABPB1	10	C		2553	GABP1_HUMAN
GABPA_HUMAN.H10MO.A	GABPA	13	A	Ets-related factors{3.5.2}	2551	GABPA_HUMAN
GATA1_HUMAN.H10MO.A	GATA1	19	A	GATA-type zinc fingers{2.2.1}	2623	GATA1_HUMAN
GATA1_HUMAN.H10MO.S	GATA1	10	S	GATA-type zinc fingers{2.2.1}	2623	GATA1_HUMAN
GATA2_HUMAN.H10MO.A	GATA2	11	A	GATA-type zinc fingers{2.2.1}	2624	GATA2_HUMAN
GATA3_HUMAN.H10MO.C	GATA3	11	C	GATA-type zinc fingers{2.2.1}	2625	GATA3_HUMAN
GATA4_HUMAN.H10MO.B	GATA4	9	B	GATA-type zinc fingers{2.2.1}	2626	GATA4_HUMAN
GATA5_HUMAN.H10MO.D	GATA5	17	D	GATA-type zinc fingers{2.2.1}	140628	GATA5_HUMAN
GATA6_HUMAN.H10MO.B	GATA6	14	B	GATA-type zinc fingers{2.2.1}	2627	GATA6_HUMAN
GATA6_HUMAN.H10MO.S	GATA6	7	S	GATA-type zinc fingers{2.2.1}	2627	GATA6_HUMAN
GBX1_HUMAN.H10MO.D	GBX1	17	D	HOX-related factors{3.1.1}	2636	GBX1_HUMAN
GBX2_HUMAN.H10MO.D	GBX2	17	D	HOX-related factors{3.1.1}	2637	GBX2_HUMAN
GCM1_HUMAN.H10MO.D	GCM1	14	D	GCM factors{7.2.1}	8521	GCM1_HUMAN
GCM2_HUMAN.H10MO.D	GCM2	11	D	GCM factors{7.2.1}	9247	GCM2_HUMAN
GCR_HUMAN.H10MO.A	NR3C1	15	A	Steroid hormone receptors (NR3){2.1.1}	2908	GCR_HUMAN
GCR_HUMAN.H10MO.S	NR3C1	7	S	Steroid hormone receptors (NR3){2.1.1}	2908	GCR_HUMAN
GFI1B_HUMAN.H10MO.C	GFI1B	11	C	More than 3 adjacent zinc finger factors{2.3.3}	8328	GFI1B_HUMAN
GFI1_HUMAN.H10MO.C	GFI1	10	C	More than 3 adjacent zinc finger factors{2.3.3}	2672	GFI1_HUMAN
GLI1_HUMAN.H10MO.C	GLI1	11	C	More than 3 adjacent zinc finger factors{2.3.3}	2735	GLI1_HUMAN
GLI2_HUMAN.H10MO.B	GLI2	11	B	More than 3 adjacent zinc finger factors{2.3.3}	2736	GLI2_HUMAN
GLI3_HUMAN.H10MO.B	GLI3	11	B	More than 3 adjacent zinc finger factors{2.3.3}	2737	GLI3_HUMAN
GLIS1_HUMAN.H10MO.D	GLIS1	13	D	More than 3 adjacent zinc finger factors{2.3.3}	148979	GLIS1_HUMAN
GLIS2_HUMAN.H10MO.D	GLIS2	14	D	More than 3 adjacent zinc finger factors{2.3.3}	84662	GLIS2_HUMAN
GLIS3_HUMAN.H10MO.D	GLIS3	10	D	More than 3 adjacent zinc finger factors{2.3.3}	169792	GLIS3_HUMAN
GMEB2_HUMAN.H10MO.D	GMEB2	11	D	GMEB{5.3.3}	26205	GMEB2_HUMAN
GRHL1_HUMAN.H10MO.D	GRHL1	12	D	Grainyhead-related factors{6.7.1}	29841	GRHL1_HUMAN
GSC2_HUMAN.H10MO.D	GSC2	11	D	Paired-related HD factors{3.1.3}	2928	GSC2_HUMAN
GSC_HUMAN.H10MO.D	GSC	11	D	Paired-related HD factors{3.1.3}	145258	GSC_HUMAN
GSX1_HUMAN.H10MO.D	GSX1	15	D	HOX-related factors{3.1.1}	219409	GSX1_HUMAN
GSX2_HUMAN.H10MO.D	GSX2	16	D	HOX-related factors{3.1.1}	170825	GSX2_HUMAN
HAND1_HUMAN.H10MO.D	HAND1	12	D	Tal-related factors{1.2.3}	9421	HAND1_HUMAN
HBP1_HUMAN.H10MO.D	HBP1	9	D	SOX-related factors{4.1.1}	26959	HBP1_HUMAN
HEN1_HUMAN.H10MO.C	NHLH1	20	C	Tal-related factors{1.2.3}	4807	HEN1_HUMAN
HES1_HUMAN.H10MO.D	HES1	13	D	Hairy-related factors{1.2.4}	3280	HES1_HUMAN
HES5_HUMAN.H10MO.D	HES5	12	D	Hairy-related factors{1.2.4}	388585	HES5_HUMAN
HES7_HUMAN.H10MO.D	HES7	12	D	Hairy-related factors{1.2.4}	84667	HES7_HUMAN
HESX1_HUMAN.H10MO.D	HESX1	16	D	Paired-related HD factors{3.1.3}	8820	HESX1_HUMAN
HEY1_HUMAN.H10MO.D	HEY1	12	D	Hairy-related factors{1.2.4}	23462	HEY1_HUMAN
HEY2_HUMAN.H10MO.D	HEY2	17	D	Hairy-related factors{1.2.4}	23493	HEY2_HUMAN
HIC1_HUMAN.H10MO.C	HIC1	9	C	Factors with multiple dispersed zinc fingers{2.3.4}	3090	HIC1_HUMAN
HIC2_HUMAN.H10MO.D	HIC2	11	D	Factors with multiple dispersed zinc fingers{2.3.4}	23119	HIC2_HUMAN
HIF1A_HUMAN.H10MO.A	HIF1A	12	A	PAS domain factors{1.2.5}	3091	HIF1A_HUMAN
HINFP_HUMAN.H10MO.C	HINFP	16	C	Factors with multiple dispersed zinc fingers{2.3.4}	25988	HINFP_HUMAN
HLF_HUMAN.H10MO.C	HLF	13	C	C/EBP-related{1.1.8}	3131	HLF_HUMAN
HLTF_HUMAN.H10MO.D	HLTF	12	D		6596	HLTF_HUMAN
HMBX1_HUMAN.H10MO.D	HMBOX1	11	D	POU domain factors{3.1.10}	79618	HMBX1_HUMAN
HME1_HUMAN.H10MO.D	EN1	17	D	NK-related factors{3.1.2}	2019	HME1_HUMAN
HME2_HUMAN.H10MO.D	EN2	11	D	NK-related factors{3.1.2}	2020	HME2_HUMAN
HMGA1_HUMAN.H10MO.D	HMGA1	7	D	HMGA factors{8.2.1}	3159	HMGA1_HUMAN
HMGA2_HUMAN.H10MO.D	HMGA2	15	D	HMGA factors{8.2.1}	8091	HMGA2_HUMAN
HMX1_HUMAN.H10MO.D	HMX1	17	D	NK-related factors{3.1.2}	3166	HMX1_HUMAN
HMX2_HUMAN.H10MO.D	HMX2	11	D	NK-related factors{3.1.2}	3167	HMX2_HUMAN
HMX3_HUMAN.H10MO.D	HMX3	11	D	NK-related factors{3.1.2}	340784	HMX3_HUMAN
HNF1A_HUMAN.H10MO.A	HNF1A	15	A	POU domain factors{3.1.10}	6927	HNF1A_HUMAN
HNF1B_HUMAN.H10MO.B	HNF1B	14	B	POU domain factors{3.1.10}	6928	HNF1B_HUMAN
HNF4A_HUMAN.H10MO.A	HNF4A	14	A	RXR-related receptors (NR2){2.1.3}	3172	HNF4A_HUMAN
HNF4G_HUMAN.H10MO.C	HNF4G	14	C	RXR-related receptors (NR2){2.1.3}	3174	HNF4G_HUMAN
HNF6_HUMAN.H10MO.C	ONECUT1	14	C	HD-CUT factors{3.1.9}	3175	HNF6_HUMAN
HOMEZ_HUMAN.H10MO.D	HOMEZ	15	D	HD-ZF factors{3.1.8}	57594	HOMEZ_HUMAN
HSF1_HUMAN.H10MO.A	HSF1	14	A	HSF factors{3.4.1}	3297	HSF1_HUMAN
HSF2_HUMAN.H10MO.A	HSF2	14	A	HSF factors{3.4.1}	3298	HSF2_HUMAN
HSF4_HUMAN.H10MO.D	HSF4	15	D	HSF factors{3.4.1}	3299	HSF4_HUMAN
HSFY1_HUMAN.H10MO.D	HSFY1; HSFY2	12	D	HSF factors{3.4.1}	159119; 86614	HSFY1_HUMAN
HTF4_HUMAN.H10MO.B	TCF12	11	B	E2A-related factors{1.2.1}	6938	HTF4_HUMAN
HXA10_HUMAN.H10MO.C	HOXA10	12	C	HOX-related factors{3.1.1}	3206	HXA10_HUMAN
HXA11_HUMAN.H10MO.D	HOXA11	13	D	HOX-related factors{3.1.1}	3207	HXA11_HUMAN
HXA13_HUMAN.H10MO.C	HOXA13	11	C	HOX-related factors{3.1.1}	3209	HXA13_HUMAN
HXA1_HUMAN.H10MO.C	HOXA1	10	C	HOX-related factors{3.1.1}	3198	HXA1_HUMAN
HXA2_HUMAN.H10MO.D	HOXA2	11	D	HOX-related factors{3.1.1}	3199	HXA2_HUMAN
